http://www.europeana.eu/schemas/edm/NonInformationResource	en	Non-Information+Resource
http://purl.org/dc/terms/tableOfContents	en	table+of+contents
http://www.europeana.eu/schemas/edm/hasView	en	Has+View
http://purl.org/dc/elements/1.1/relation	en	relation__2
http://purl.org/dc/elements/1.1/coverage	en	coverage
http://www.europeana.eu/schemas/edm/isSimilarTo	en	Is+Similar+To
http://www.europeana.eu/schemas/edm/isAnnotationOf	en	Is+Annotation+Of
http://www.europeana.eu/schemas/edm/isNextInSequence	en	Is+Next+In+Sequence+Of
http://purl.org/dc/terms/temporal	en	temporal
http://www.europeana.eu/schemas/edm/isShownBy	en	Is+Shown+By
http://www.cidoc-crm.org/rdfs/cidoc-crm#P12_occurred_in_the_presence_of	en	P12+occurred+in+the+presence+of
http://www.europeana.eu/schemas/edm/Event	en	Event
http://purl.org/dc/terms/isReplacedBy	en	is+replaced+by
http://www.ibi.hu-berlin.de/institut/personen/iwanowa	en	iwanowa
http://purl.org/dc/elements/1.1/creator	en	creator
http://purl.org/vocab/frbr/core#Event	en	Event__2
http://www.europeana.eu/schemas/edm/object	en	Object
http://www.europeana.eu/schemas/edm/isRelatedTo	en	Is+Related+To
http://www.europeana.eu/schemas/edm/isRelatedTo	en	Is+Related+To__2
http://www.w3.org/2002/07/owl#versionInfo	en	version+info
http://www.image.ece.ntua.gr/~ndroso/	en	__3
http://xmlns.com/foaf/0.1/Person	en	Person
http://www.europeana.eu/schemas/edm/happenedAt	en	Happened+At
http://www.europeana.eu/schemas/edm/EuropeanaObject	en	Europeana+Object
http://www.cidoc-crm.org/rdfs/cidoc-crm#P80_end_is_qualified_by	en	P80+end+is+qualified+by
http://purl.org/vocab/frbr/core#Expression	en	Expression
http://iflastandards.info/ns/fr/frbr/frbroo/F3_Manifestation_Product_Type	en	F3+Manifestation+Product+Type
http://www.europeana.eu/schemas/edm/TimeSpan	en	Time+Span
http://purl.org/dc/elements/1.1/contributor	en	contributor
http://purl.org/dc/terms/hasVersion	en	has+version
http://www.cidoc-crm.org/rdfs/cidoc-crm#E89_Propositional_Object	en	E89+Propositional+Object
http://www.cidoc-crm.org/rdfs/cidoc-crm#E52_Time-Span	en	E52+Time-Span
http://metadata.net/harmony/abc#Place	en	Place__3
http://purl.org/dc/terms/isVersionOf	en	is+version+of
http://www.europeana.eu/schemas/edm/provider	en	Provider
http://purl.org/dc/terms/spatial	en	spatial
http://purl.org/dc/elements/1.1/description	en	description
http://www.europeana.eu/schemas/edm/WebResource	en	Web+Resource
http://www.europeana.eu/schemas/edm/wasPresentAt	en	Was+Present+At
